"Topic#","Topic","Class","Concept ID","Type","Simulatable","Diamond (high-impact aha)","Targets misconception","Description (what the sim teaches)","Requires (prerequisites)","Required-by (unlocks)","Notes","Built in repo?"
"1","Physical World","Class 11","fundamental_forces_in_nature_atomic","atomic","Yes","","dozens of different forces","The **four fundamental forces**: gravitational, electromagnetic, strong nuclear, weak nuclear. Relative strengths (~1 : 10⁻² : 10⁻¹³ : 10⁻³⁸, taking strong = 1) and ranges (gravity + EM infinite; strong ~10⁻¹⁵ m; weak ~10⁻¹⁸ m). EVERY force in nature is one of these four.","— (umbrella)","[field_forces+contact_forces(T11), gravitation(T16), moving_charges(T36), nuclear_force(T48)]","PW-G3; **the one V1-worthy atomic**; **cognitive_error_target:** ""dozens of different forces"" → only 2 act at everyday scale (EM + gravity)",""
"1","Physical World","Class 11","four_forces_strength_range_table_nano","nano","Yes","","","The comparison table: strong (1, ~10⁻¹⁵ m), EM (10⁻², infinite), weak (10⁻¹³, ~10⁻¹⁸ m), gravity (10⁻³⁸, infinite). **Simulatable as a strength-bar + range-scale visual.** Why gravity dominates cosmically (infinite range + always attractive) despite being weakest.","[fundamental_forces_in_nature_atomic]","—","parent; PW-G3; the genuinely-simulatable fragment",""
"1","Physical World","Class 11","all_contact_forces_are_em_nano","nano","Yes","","","Friction, tension, normal reaction, spring force, drag — ALL are the electromagnetic repulsion/attraction between the electron clouds of surface atoms. **The single most unifying aha**: the macroscopic contact-force zoo of T11/T12 is ONE force (EM) in disguise. Genuine ""small → smaller"" recursion.","[fundamental_forces_in_nature_atomic]","[contact_forces(T11), friction_static_kinetic(T12)]","parent; PW-G4; retroactively unifies T11/T12",""
"1","Physical World","Class 11","unification_story_nano","nano","Yes","","","The drive toward unification: Maxwell unified electricity + magnetism + optics into electromagnetism; the electroweak theory unified EM + weak; the search for grand unification + quantum gravity continues. Physics seeks the fewest principles explaining the most phenomena.","[fundamental_forces_in_nature_atomic]","—","parent; PW-G7; narrative (not standalone sim)",""
"1","Physical World","Class 11","conservation_laws_as_organizing_principles_atomic","atomic","Yes","","conservation law = just one more formula","Conservation of **energy, linear momentum, angular momentum, and charge** as the DEEP organizing principles of physics — rooted in symmetries of nature (qualitative Noether: time-symmetry → energy; space-symmetry → momentum; rotational-symmetry → angular momentum). More fundamental than any specific force law: they hold even when the detailed forces are unknown.","— (umbrella)","[work_energy(T13), momentum_collisions(T14), rotational(T15), electric_charge(T29)]","PW-G5; **cognitive_error_target:** ""conservation law = just one more formula""",""
"1","Physical World","Class 11","conservation_from_symmetry_nano","nano","Yes","","","Qualitative Noether: every conservation law mirrors a symmetry of nature. Energy ← laws don't change over time; momentum ← laws don't change across space; angular momentum ← laws don't change with orientation. **Why conservation is DEEP, not arbitrary.**","[conservation_laws_as_organizing_principles_atomic]","—","parent; PW-G5 cognitive scaffold",""
"1","Physical World","Class 11","conservation_makes_problems_solvable_nano","nano","Yes","","","Conservation laws let you relate ""before"" and ""after"" WITHOUT tracking the messy forces in between (e.g. collision: momentum before = momentum after, no need to integrate the contact force). This is WHY they are the physicist's first tool.","[conservation_laws_as_organizing_principles_atomic]","[momentum_collisions(T14), work_energy(T13)]","parent; the operational payoff",""
"1","Physical World","Class 11","scope_and_domains_of_physics_atomic","atomic","Yes","","classical mechanics is wrong, replaced by quantum/relativity","The reach of physics across **scale** (10⁻¹⁵ m nucleus → 10⁺²⁶ m observable universe, ~41 orders of magnitude) and the **three domains of validity**: CLASSICAL (everyday sizes/speeds), QUANTUM (atomic/sub-atomic), RELATIVISTIC (speeds near c). Each theory is the correct model WITHIN its domain.","— (umbrella)","[order_of_magnitude(T2), all-quantitative-physics (conceptual)]","PW-G6; **cognitive_error_target:** ""classical mechanics is wrong, replaced by quantum/relativity""",""
"1","Physical World","Class 11","scales_of_the_universe_nano","nano","Yes","","","The scale ladder: quark < proton (10⁻¹⁵ m) < atom (10⁻¹⁰) < human (10⁰) < Earth (10⁷) < solar system (10¹³) < galaxy (10²¹) < observable universe (10²⁶). Links to T2 order-of-magnitude estimation. **Simulatable as a logarithmic zoom.**","[scope_and_domains_of_physics_atomic, dimensional_analysis_atomic(T2)]","—","parent; **education anchor**; zoom-sim fragment",""
"1","Physical World","Class 11","domains_of_validity_nano","nano","Yes","","","Classical mechanics is EXACT for everyday scales/speeds (a cricket ball, a car); quantum is needed at atomic scale; relativity at speeds near c. The boundaries (not right-vs-wrong) — classical is a limiting case of both.","[scope_and_domains_of_physics_atomic]","—","parent; PW-G6 cognitive scaffold",""
